trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
140286899,22,4/1/2020 8:29,4/1/2020 8:51,4442,34.098,-118.300468,4490,34.053551,-118.25583600000002,18912,30,One Way,Monthly Pass,electric
140286693,8,4/1/2020 8:36,4/1/2020 8:44,4475,34.045181,-118.243248,3032,34.049889,-118.255882,6189,30,One Way,Monthly Pass,standard
140287311,20,4/1/2020 8:45,4/1/2020 9:05,4456,34.052429,-118.30201699999999,3026,34.063179,-118.24588,16704,30,One Way,Monthly Pass,electric
140287310,20,4/1/2020 8:47,4/1/2020 9:07,4220,34.074829,-118.258728,3064,34.04681,-118.25698100000001,16385,365,One Way,Walk-up,electric
140286893,1,4/1/2020 8:51,4/1/2020 8:52,3008,34.046611999999996,-118.26273300000001,3035,34.048401,-118.260948,16518,30,One Way,Monthly Pass,electric
140287624,26,4/1/2020 8:54,4/1/2020 9:20,4496,33.97298,-118.423943,4470,33.976189,-118.418419,16063,1,One Way,One Day Pass,smart
140287519,25,4/1/2020 8:55,4/1/2020 9:20,4496,33.97298,-118.423943,4470,33.976189,-118.418419,16082,1,One Way,One Day Pass,smart
140287725,30,4/1/2020 8:56,4/1/2020 9:26,3035,34.048401,-118.260948,3052,34.051102,-118.26455700000001,6542,1,One Way,Walk-up,standard
140287724,30,4/1/2020 8:57,4/1/2020 9:27,3035,34.048401,-118.260948,3005,34.0485,-118.25853700000002,19956,30,One Way,Monthly Pass,electric
140287508,14,4/1/2020 9:03,4/1/2020 9:17,3035,34.048401,-118.260948,3064,34.04681,-118.25698100000001,16518,30,One Way,Monthly Pass,electric
140287815,27,4/1/2020 9:05,4/1/2020 9:32,4275,34.01252,-118.285896,3047,34.039982,-118.266403,6374,30,One Way,Monthly Pass,standard
140287393,2,4/1/2020 9:08,4/1/2020 9:10,4353,33.988129,-118.471741,4353,33.988129,-118.471741,16083,30,Round Trip,Monthly Pass,smart
140287599,11,4/1/2020 9:10,4/1/2020 9:21,3026,34.063179,-118.24588,4476,34.08252,-118.27271999999999,16704,30,One Way,Monthly Pass,electric
140287497,4,4/1/2020 9:14,4/1/2020 9:18,4273,34.025859999999994,-118.284103,4267,34.027618,-118.28067800000001,5890,30,One Way,Monthly Pass,standard
140287903,17,4/1/2020 9:19,4/1/2020 9:36,3064,34.04681,-118.25698100000001,3035,34.048401,-118.260948,16385,30,One Way,Monthly Pass,electric
140287800,11,4/1/2020 9:22,4/1/2020 9:32,4353,33.988129,-118.471741,4343,33.998321999999995,-118.46098300000001,15987,30,One Way,Monthly Pass,smart
140287694,5,4/1/2020 9:22,4/1/2020 9:27,4293,34.062279,-118.271523,4315,34.054031,-118.27091999999999,6611,30,One Way,Monthly Pass,standard
140287798,8,4/1/2020 9:22,4/1/2020 9:30,4476,34.08252,-118.27271999999999,4483,34.1007,-118.25911699999999,18094,30,One Way,Monthly Pass,electric
140288105,18,4/1/2020 9:27,4/1/2020 9:45,3005,34.0485,-118.25853700000002,3005,34.0485,-118.25853700000002,19956,30,Round Trip,Monthly Pass,electric
140288000,17,4/1/2020 9:28,4/1/2020 9:45,4315,34.054031,-118.27091999999999,4220,34.074829,-118.258728,19115,30,One Way,Monthly Pass,electric
140288102,17,4/1/2020 9:29,4/1/2020 9:46,3005,34.0485,-118.25853700000002,3005,34.0485,-118.25853700000002,12187,30,Round Trip,Monthly Pass,standard
140287795,2,4/1/2020 9:31,4/1/2020 9:33,3049,34.056969,-118.253593,4490,34.053551,-118.25583600000002,20205,30,One Way,Monthly Pass,standard
140288203,21,4/1/2020 9:31,4/1/2020 9:52,4483,34.1007,-118.25911699999999,4302,34.092490999999995,-118.29144299999999,16540,30,One Way,Monthly Pass,electric
140287894,2,4/1/2020 9:37,4/1/2020 9:39,3035,34.048401,-118.260948,3005,34.0485,-118.25853700000002,16385,30,One Way,Monthly Pass,electric
140288095,8,4/1/2020 9:41,4/1/2020 9:49,3014,34.05661,-118.23721299999998,3048,34.041691,-118.235352,12293,1,One Way,Walk-up,standard
140288193,8,4/1/2020 9:45,4/1/2020 9:53,4220,34.074829,-118.258728,4293,34.062279,-118.271523,19115,30,One Way,Monthly Pass,electric
140289332,52,4/1/2020 9:46,4/1/2020 10:38,3005,34.0485,-118.25853700000002,3082,34.04652,-118.23741100000001,19956,30,One Way,Monthly Pass,electric
140288302,7,4/1/2020 9:49,4/1/2020 9:56,4470,33.976189,-118.418419,4469,33.970242,-118.426071,16082,1,One Way,One Day Pass,smart
140288304,7,4/1/2020 9:49,4/1/2020 9:56,4470,33.976189,-118.418419,4469,33.970242,-118.426071,16063,1,One Way,One Day Pass,smart
140288714,17,4/1/2020 9:49,4/1/2020 10:06,3005,34.0485,-118.25853700000002,3005,34.0485,-118.25853700000002,16385,30,Round Trip,Monthly Pass,electric
140288710,15,4/1/2020 9:52,4/1/2020 10:07,3048,34.041691,-118.235352,3046,34.052872,-118.24748999999998,5844,1,One Way,Walk-up,standard
140288703,12,4/1/2020 9:57,4/1/2020 10:09,4302,34.092490999999995,-118.29144299999999,4311,34.059689,-118.29466200000002,16540,30,One Way,Monthly Pass,electric
140289012,21,4/1/2020 9:59,4/1/2020 10:20,3005,34.0485,-118.25853700000002,3022,34.04607,-118.233093,201019,30,One Way,Monthly Pass,standard
140288596,3,4/1/2020 10:00,4/1/2020 10:03,3078,34.064281,-118.238937,3066,34.063389,-118.23616000000001,16593,30,One Way,Monthly Pass,electric
140288695,5,4/1/2020 10:03,4/1/2020 10:08,4442,34.098,-118.300468,4301,34.099049,-118.291496,12116,30,One Way,Monthly Pass,standard
140288797,11,4/1/2020 10:03,4/1/2020 10:14,4343,33.998321999999995,-118.46098300000001,4353,33.988129,-118.471741,15987,30,One Way,Monthly Pass,smart
140289004,18,4/1/2020 10:05,4/1/2020 10:23,3066,34.063389,-118.23616000000001,3074,34.04417,-118.261169,17546,30,One Way,Monthly Pass,electric
140288997,15,4/1/2020 10:09,4/1/2020 10:24,3005,34.0485,-118.25853700000002,3035,34.048401,-118.260948,16385,30,One Way,Monthly Pass,electric
140288896,7,4/1/2020 10:10,4/1/2020 10:17,4311,34.059689,-118.29466200000002,4456,34.052429,-118.30201699999999,16799,30,One Way,Monthly Pass,electric
140289294,19,4/1/2020 10:17,4/1/2020 10:36,3005,34.0485,-118.25853700000002,3006,34.04554,-118.25666799999999,6457,30,One Way,Monthly Pass,standard
140289093,8,4/1/2020 10:18,4/1/2020 10:25,3066,34.063389,-118.23616000000001,3023,34.050911,-118.240967,18849,30,One Way,Monthly Pass,electric
140289597,28,4/1/2020 10:23,4/1/2020 10:51,3074,34.04417,-118.261169,3074,34.04417,-118.261169,17546,30,Round Trip,Monthly Pass,electric
140289394,17,4/1/2020 10:26,4/1/2020 10:43,3035,34.048401,-118.260948,3019,34.038609,-118.260857,16385,30,One Way,Monthly Pass,electric
140290724,68,4/1/2020 10:27,4/1/2020 11:35,3075,34.04211,-118.25618700000001,3031,34.044701,-118.25244099999999,5982,1,One Way,Walk-up,standard
140289393,11,4/1/2020 10:30,4/1/2020 10:41,4267,34.027618,-118.28067800000001,3025,34.03286,-118.268082,16523,30,One Way,Monthly Pass,electric
140297210,233,4/1/2020 10:31,4/1/2020 14:24,4401,34.075611,-118.29186200000001,4401,34.075611,-118.29186200000001,18291,1,Round Trip,Walk-up,electric
140289494,9,4/1/2020 10:37,4/1/2020 10:46,3076,34.0406,-118.25383799999999,3031,34.044701,-118.25244099999999,16422,30,One Way,Monthly Pass,electric
140289493,11,4/1/2020 10:38,4/1/2020 10:49,3082,34.04652,-118.23741100000001,3023,34.050911,-118.240967,19956,30,One Way,Monthly Pass,electric
140289697,13,4/1/2020 10:45,4/1/2020 10:58,3019,34.038609,-118.260857,3005,34.0485,-118.25853700000002,19279,30,One Way,Monthly Pass,electric
140289695,9,4/1/2020 10:47,4/1/2020 10:56,3074,34.04417,-118.261169,4491,34.04744,-118.24793999999999,6184,30,One Way,Monthly Pass,standard
140290096,18,4/1/2020 10:48,4/1/2020 11:06,3031,34.044701,-118.25244099999999,3005,34.0485,-118.25853700000002,16422,30,One Way,Monthly Pass,electric
140290200,25,4/1/2020 10:48,4/1/2020 11:13,4447,34.0616,-118.28199,4483,34.1007,-118.25911699999999,20099,30,One Way,Monthly Pass,standard
140289693,9,4/1/2020 10:48,4/1/2020 10:57,4304,34.06258,-118.29009199999999,4447,34.0616,-118.28199,18841,30,One Way,Monthly Pass,electric
140290198,25,4/1/2020 10:49,4/1/2020 11:14,4447,34.0616,-118.28199,4483,34.1007,-118.25911699999999,6692,30,One Way,Monthly Pass,standard
140290298,27,4/1/2020 10:51,4/1/2020 11:18,3074,34.04417,-118.261169,3031,34.044701,-118.25244099999999,17546,30,One Way,Monthly Pass,electric
140290197,18,4/1/2020 10:52,4/1/2020 11:10,3023,34.050911,-118.240967,3023,34.050911,-118.240967,17030,30,Round Trip,Monthly Pass,electric
140297199,337,4/1/2020 10:57,4/1/2020 16:34,3032,34.049889,-118.255882,3005,34.0485,-118.25853700000002,12269,1,One Way,Walk-up,standard
140290499,27,4/1/2020 10:58,4/1/2020 11:25,4447,34.0616,-118.28199,4304,34.06258,-118.29009199999999,18833,30,One Way,Monthly Pass,electric
140290196,11,4/1/2020 10:59,4/1/2020 11:10,3005,34.0485,-118.25853700000002,3005,34.0485,-118.25853700000002,19279,30,Round Trip,Monthly Pass,electric
140290195,13,4/1/2020 11:00,4/1/2020 11:13,3025,34.03286,-118.268082,4267,34.027618,-118.28067800000001,16523,30,One Way,Monthly Pass,electric
140290918,43,4/1/2020 11:04,4/1/2020 11:47,3074,34.04417,-118.261169,3067,34.045181,-118.25023700000001,20046,1,One Way,Walk-up,standard
140290093,1,4/1/2020 11:08,4/1/2020 11:09,3005,34.0485,-118.25853700000002,3005,34.0485,-118.25853700000002,16422,30,Round Trip,Monthly Pass,electric
140290599,25,4/1/2020 11:08,4/1/2020 11:33,4443,34.02166,-118.278687,3005,34.0485,-118.25853700000002,20049,30,One Way,Monthly Pass,standard
140290394,9,4/1/2020 11:15,4/1/2020 11:24,3016,34.052898,-118.24156200000002,3064,34.04681,-118.25698100000001,20166,30,One Way,Monthly Pass,standard
140290393,8,4/1/2020 11:16,4/1/2020 11:24,3005,34.0485,-118.25853700000002,3031,34.044701,-118.25244099999999,16422,30,One Way,Monthly Pass,electric
140290704,20,4/1/2020 11:16,4/1/2020 11:36,4483,34.1007,-118.25911699999999,4447,34.0616,-118.28199,20099,30,One Way,Monthly Pass,standard
140290703,19,4/1/2020 11:17,4/1/2020 11:36,4483,34.1007,-118.25911699999999,4447,34.0616,-118.28199,6692,30,One Way,Monthly Pass,standard
140290596,12,4/1/2020 11:18,4/1/2020 11:30,3031,34.044701,-118.25244099999999,3049,34.056969,-118.253593,17546,30,One Way,Monthly Pass,electric
140290595,14,4/1/2020 11:18,4/1/2020 11:32,3005,34.0485,-118.25853700000002,3034,34.042061,-118.26338200000001,19279,30,One Way,Monthly Pass,electric
140290804,21,4/1/2020 11:22,4/1/2020 11:42,3005,34.0485,-118.25853700000002,3035,34.048401,-118.260948,12187,30,One Way,Monthly Pass,standard
140291009,26,4/1/2020 11:25,4/1/2020 11:51,4456,34.052429,-118.30201699999999,4266,34.026291,-118.27768700000001,16799,30,One Way,Monthly Pass,electric
140290700,11,4/1/2020 11:28,4/1/2020 11:39,4315,34.054031,-118.27091999999999,3006,34.04554,-118.25666799999999,17072,30,One Way,Monthly Pass,electric
140291111,29,4/1/2020 11:29,4/1/2020 11:58,4304,34.06258,-118.29009199999999,4444,34.061619,-118.305573,18833,30,One Way,Monthly Pass,electric
140290699,8,4/1/2020 11:31,4/1/2020 11:39,3064,34.04681,-118.25698100000001,3031,34.044701,-118.25244099999999,12441,1,One Way,Walk-up,standard
140290801,13,4/1/2020 11:31,4/1/2020 11:44,3057,34.035678999999995,-118.27081299999999,3047,34.039982,-118.266403,5800,30,One Way,Monthly Pass,standard
140295587,152,4/1/2020 11:31,4/1/2020 14:03,4328,34.020061,-118.422684,4462,34.022018,-118.409378,16214,365,One Way,Walk-up,smart
140290904,16,4/1/2020 11:32,4/1/2020 11:48,3049,34.056969,-118.253593,3052,34.051102,-118.26455700000001,17546,30,One Way,Monthly Pass,electric
140290594,1,4/1/2020 11:33,4/1/2020 11:34,3034,34.042061,-118.26338200000001,3034,34.042061,-118.26338200000001,6030,30,Round Trip,Monthly Pass,standard
140291104,24,4/1/2020 11:35,4/1/2020 11:59,3034,34.042061,-118.26338200000001,3005,34.0485,-118.25853700000002,19279,30,One Way,Monthly Pass,electric
140291405,27,4/1/2020 11:36,4/1/2020 12:03,4345,33.995579,-118.481422,4353,33.988129,-118.471741,15927,1,One Way,Walk-up,smart
140291511,33,4/1/2020 11:36,4/1/2020 12:09,4406,34.101890999999995,-118.30061299999998,4406,34.101890999999995,-118.30061299999998,16997,365,Round Trip,Annual Pass,electric
140290694,1,4/1/2020 11:37,4/1/2020 11:38,3035,34.048401,-118.260948,3035,34.048401,-118.260948,6166,30,Round Trip,Monthly Pass,standard
140290897,10,4/1/2020 11:38,4/1/2020 11:48,3082,34.04652,-118.23741100000001,3069,34.05088,-118.248253,6351,30,One Way,Monthly Pass,standard
140290896,9,4/1/2020 11:39,4/1/2020 11:48,3082,34.04652,-118.23741100000001,3069,34.05088,-118.248253,12263,30,One Way,Monthly Pass,standard
140290794,3,4/1/2020 11:40,4/1/2020 11:43,3005,34.0485,-118.25853700000002,3051,34.045421999999995,-118.25351699999999,12076,30,One Way,Monthly Pass,standard
140290793,3,4/1/2020 11:40,4/1/2020 11:43,3035,34.048401,-118.260948,3052,34.051102,-118.26455700000001,19483,30,One Way,Monthly Pass,electric
140290893,3,4/1/2020 11:44,4/1/2020 11:47,3035,34.048401,-118.260948,4490,34.053551,-118.25583600000002,19895,30,One Way,Monthly Pass,electric
140290993,7,4/1/2020 11:46,4/1/2020 11:53,3062,34.047748999999996,-118.243172,3031,34.044701,-118.25244099999999,5860,30,One Way,Monthly Pass,standard
140291707,28,4/1/2020 11:48,4/1/2020 12:16,3052,34.051102,-118.26455700000001,3049,34.056969,-118.253593,17546,30,One Way,Monthly Pass,electric
140291094,8,4/1/2020 11:48,4/1/2020 11:56,4490,34.053551,-118.25583600000002,3078,34.064281,-118.238937,18912,30,One Way,Monthly Pass,electric
140292953,76,4/1/2020 11:53,4/1/2020 13:09,4315,34.054031,-118.27091999999999,3077,34.039871000000005,-118.25003799999999,18957,30,One Way,Monthly Pass,electric
140291601,19,4/1/2020 11:54,4/1/2020 12:13,4266,34.026291,-118.27768700000001,4266,34.026291,-118.27768700000001,16799,30,Round Trip,Monthly Pass,electric
140291394,6,4/1/2020 11:57,4/1/2020 12:03,3030,34.051941,-118.24353,3014,34.05661,-118.23721299999998,6162,30,One Way,Monthly Pass,standard
140291499,10,4/1/2020 11:57,4/1/2020 12:07,3008,34.046611999999996,-118.26273300000001,3056,34.037459999999996,-118.265381,6258,30,One Way,Monthly Pass,standard
140291701,20,4/1/2020 11:59,4/1/2020 12:19,4444,34.061619,-118.305573,4304,34.06258,-118.29009199999999,18833,30,One Way,Monthly Pass,electric
140291498,5,4/1/2020 12:00,4/1/2020 12:05,3051,34.045421999999995,-118.25351699999999,3064,34.04681,-118.25698100000001,12076,30,One Way,Monthly Pass,standard
140291497,7,4/1/2020 12:00,4/1/2020 12:07,3031,34.044701,-118.25244099999999,3007,34.05048,-118.254593,6022,30,One Way,Monthly Pass,standard
140291804,24,4/1/2020 12:00,4/1/2020 12:24,3005,34.0485,-118.25853700000002,3006,34.04554,-118.25666799999999,20049,30,One Way,Monthly Pass,standard
140291393,3,4/1/2020 12:01,4/1/2020 12:04,3031,34.044701,-118.25244099999999,3067,34.045181,-118.25023700000001,20103,30,One Way,Monthly Pass,standard
140291802,22,4/1/2020 12:01,4/1/2020 12:23,4437,34.105358,-118.28726999999999,4437,34.105358,-118.28726999999999,12350,1,Round Trip,Walk-up,standard
140291495,2,4/1/2020 12:05,4/1/2020 12:07,3005,34.0485,-118.25853700000002,3035,34.048401,-118.260948,19279,30,One Way,Monthly Pass,electric
140291695,13,4/1/2020 12:06,4/1/2020 12:19,3064,34.04681,-118.25698100000001,3075,34.04211,-118.25618700000001,16518,30,One Way,Monthly Pass,electric
140291493,1,4/1/2020 12:08,4/1/2020 12:09,3007,34.05048,-118.254593,3007,34.05048,-118.254593,6516,30,Round Trip,Monthly Pass,standard
140292937,61,4/1/2020 12:09,4/1/2020 13:10,4389,34.035351,-118.43414299999999,4389,34.035351,-118.43414299999999,16112,30,Round Trip,Monthly Pass,smart
